"",latency-Q2,memory
1,478.2361809045226,36.74356431227464
2,491.73655913978496,43.55951944986979
3,458.3850267379679,50.262105305989586
4,547.0056497175141,56.68522961934408
5,1106.9338842975208,60.53759511311849
6,1502.765306122449,63.50965817769369
7,1520.5050505050506,66.22443771362305
8,1515.7395833333333,69.1394526163737
9,1609.625,72.26643943786621
10,1646.0333333333333,75.1383851369222
11,1610.96875,77.77903747558594
12,1460.4479166666667,80.21319198608398
13,1689.3958333333333,83.09702110290527
14,1516.6526315789474,85.63713773091634
15,2086.9772727272725,87.80248705546062
