"",latency-Q2,memory
1,721.64,35.942981426532455
2,1470.0408163265306,39.775168100992836
3,1586.6734693877552,42.67010370890299
4,1943.4137931034484,45.1333802541097
5,2052.8426966292136,46.8126589457194
6,2089.6704545454545,48.347485860188804
7,2195.8720930232557,49.989868799845375
8,2215.505882352941,51.40828386942545
9,2053.10843373494,52.6408322652181
10,3356.4210526315787,53.737597147623696
11,5969.775,54.71547826131185
12,7361.6551724137935,55.76109186808268
13,6222.358974358975,56.942103703816734
14,9423.5,57.78239885965983
15,10504.761904761905,58.97040621439616
