"",latency-Q2,memory
1,537.3846153846154,36.27987201397236
2,733.9403973509934,44.15896797180176
3,1200.8761061946902,51.5881404876709
4,1186.716814159292,58.54931767781576
5,1479.5945945945946,64.13721466064453
6,1569.4818181818182,67.48826917012532
7,2075.430107526882,69.95672416687012
8,2128.3617021276596,71.911439259847
9,2039.4166666666667,73.80311393737793
10,2005.0210526315789,75.47097142537434
11,2074.2105263157896,77.16396522521973
12,2122.7741935483873,78.84288152058919
13,2118.94623655914,80.4245211283366
14,2042.7553191489362,81.95935185750325
15,2013.6041666666667,83.5925890604655
